method,lambda,seed,cap,alpha,fairness_type,n_train,test_regret_normalized,test_fairness,test_pred_mse
FDFL-Scal,1.0,55,linear,2.0,mad,50,0.1313393209434339,38.74916312337077,169.3009721218674
FDFL,0.0,11,linear,2.0,mad,50,0.2333450968268024,87.62095565638631,346.7401984955819
FDFL,1.0,11,linear,2.0,mad,50,0.1343163840760222,35.470138565054434,191.8121076661627
FDFL,0.0,22,linear,2.0,mad,50,0.237534498371652,112.83907273835575,349.1219507049645
FDFL,1.0,22,linear,2.0,mad,50,0.1298508714764047,33.83744746614358,195.0097420316588
FDFL,0.0,33,linear,2.0,mad,50,0.2303422440715059,94.74695121414246,357.1661888205163
FDFL,1.0,33,linear,2.0,mad,50,0.1325147121059851,38.46059450635415,226.7311357516744
FDFL,0.0,44,linear,2.0,mad,50,0.2225439794852515,97.02302496502828,338.45993761225293
FDFL,1.0,44,linear,2.0,mad,50,0.1307778331418842,36.071290793277576,197.7019875823677
FDFL,0.0,55,linear,2.0,mad,50,0.2204674481734563,114.51993680491972,341.05398230593426
FDFL,1.0,55,linear,2.0,mad,50,0.1314852417383459,41.47169377556989,187.20743904270185
FPLG,0.0,11,linear,2.0,mad,50,0.2046149929888891,79.7288295163924,329.18437128385466
FPLG,1.0,11,linear,2.0,mad,50,0.1887033924233478,64.52876786126562,309.46629354442325
FPLG,0.0,22,linear,2.0,mad,50,0.2054789706274658,102.59225237081486,331.1271109799405
FPLG,1.0,22,linear,2.0,mad,50,0.1902972037015146,81.0670408689999,313.29590919477874
FPLG,0.0,33,linear,2.0,mad,50,0.2061426269937386,88.90358171881586,342.71019146797363
FPLG,1.0,33,linear,2.0,mad,50,0.1902149507838401,72.73798488066913,322.8096348964672
FPLG,0.0,44,linear,2.0,mad,50,0.203100114625388,91.98869726417092,326.74351022102144
FPLG,1.0,44,linear,2.0,mad,50,0.1827656993114914,76.18959529024319,305.3510171536851
FPLG,0.0,55,linear,2.0,mad,50,0.203547898778343,109.27203302946128,330.95482522361493
FPLG,1.0,55,linear,2.0,mad,50,0.187093005815519,91.93083464712994,312.27163861516874
FPTO,0.0,11,linear,2.0,mad,50,0.1969239800802365,33.884646546194,138.32546092300225
FPTO,1.0,11,linear,2.0,mad,50,0.1741951068294047,30.98328557340089,136.03372936155378
