method,lambda,seed,cap,alpha,imbalance,n_groups,test_regret_normalized,test_fairness,test_pred_mse
MGDA,0.0,44,linear,2.0,0.2,2.0,0.4848706340928984,0.2439747442446623,1.9602765511922065
MGDA,0.0,55,linear,2.0,0.2,2.0,0.4411638834541561,0.2306984804600147,2.4471423426028576
NashMTL,0.0,11,linear,2.0,0.2,2.0,0.3366352620638007,0.1909691418820965,2.1927958492384723
NashMTL,0.0,22,linear,2.0,0.2,2.0,0.1939836711134177,0.0563535332982848,0.486747869646922
NashMTL,0.0,33,linear,2.0,0.2,2.0,0.2838660145232952,0.0763042350540603,1.0959355810671254
NashMTL,0.0,44,linear,2.0,0.2,2.0,0.210410556164123,0.2613169132568593,1.757566354039994
NashMTL,0.0,55,linear,2.0,0.2,2.0,0.2539853055594242,0.1758025923144389,2.0660514611304657
PCGrad,0.0,11,linear,2.0,0.2,2.0,0.3428894669075432,0.1789538995229369,2.1263685874300258
PCGrad,0.0,22,linear,2.0,0.2,2.0,0.2092400528214554,0.0426917345999406,0.4803179401257605
PCGrad,0.0,33,linear,2.0,0.2,2.0,0.2989304807851313,0.0731077978880635,1.0629766273998054
PCGrad,0.0,44,linear,2.0,0.2,2.0,0.2285975754855501,0.2344630621636569,1.61425998799404
PCGrad,0.0,55,linear,2.0,0.2,2.0,0.2547447868698355,0.176265198159441,1.871884690027388
SAA,0.0,11,linear,2.0,0.2,2.0,0.7239756294282335,0.2948265883651988,3.725311238834924
SAA,0.0,22,linear,2.0,0.2,2.0,0.5955605891778515,0.1220893452354967,1.0761319593331644
SAA,0.0,33,linear,2.0,0.2,2.0,0.7111300742481586,0.138942884736641,1.9186148207966127
SAA,0.0,44,linear,2.0,0.2,2.0,0.5554700744411838,0.2783045968070581,2.3840487530019567
SAA,0.0,55,linear,2.0,0.2,2.0,0.729571114843917,0.2013664288769559,3.425929879035532
WDRO,0.0,11,linear,2.0,0.2,2.0,0.370522033754557,0.1945895783817094,2.1814601312963924
WDRO,0.0,22,linear,2.0,0.2,2.0,0.2327383688759008,0.0580433012777469,0.5236952107885473
WDRO,0.0,33,linear,2.0,0.2,2.0,0.3812561075961183,0.0694645637506849,1.0212202076131036
WDRO,0.0,44,linear,2.0,0.2,2.0,0.3032455248209496,0.2703454311849364,1.6456086944507655
WDRO,0.0,55,linear,2.0,0.2,2.0,0.3113432299059379,0.1800901048548514,1.8350880657912776
FDFL-0.1,0.0,11,linear,2.0,0.4,2.0,0.3485085899311747,0.3041278749975096,3.610743924794319
FDFL-0.1,1.0,11,linear,2.0,0.4,2.0,0.3487228812706223,0.3032751390718906,3.601630581168675
FDFL-0.1,0.0,22,linear,2.0,0.4,2.0,0.2111937366507862,0.1672592235493519,0.7061489939808847
FDFL-0.1,1.0,22,linear,2.0,0.4,2.0,0.2111315286026684,0.1656384505311131,0.7024088943476333
FDFL-0.1,0.0,33,linear,2.0,0.4,2.0,0.3192231971199549,0.1425387573807854,1.5344466130593442
FDFL-0.1,1.0,33,linear,2.0,0.4,2.0,0.3191355147197052,0.1419261101043721,1.5310711329044149
FDFL-0.1,0.0,44,linear,2.0,0.4,2.0,0.2208927050640423,0.6429522701864084,2.8320181415762726
FDFL-0.1,1.0,44,linear,2.0,0.4,2.0,0.2224471138866631,0.6384465955841487,2.808582881356021
FDFL-0.1,0.0,55,linear,2.0,0.4,2.0,0.2669626157964361,0.3698707900299126,3.242795679653945
FDFL-0.1,1.0,55,linear,2.0,0.4,2.0,0.2664784131584143,0.3632738808595591,3.2036362982658746
FDFL-0.5,0.0,11,linear,2.0,0.4,2.0,0.3479996961982252,0.3020711703236193,3.587276025737119
FDFL-0.5,1.0,11,linear,2.0,0.4,2.0,0.348397339283592,0.3011971373247795,3.577946077929349
FDFL-0.5,0.0,22,linear,2.0,0.4,2.0,0.2111533654805842,0.1657351968182585,0.7023829953783539
FDFL-0.5,1.0,22,linear,2.0,0.4,2.0,0.2111751140400504,0.1641069736649846,0.6986599208049468
FDFL-0.5,0.0,33,linear,2.0,0.4,2.0,0.31910284806973,0.1411944040309895,1.5267442550875878
FDFL-0.5,1.0,33,linear,2.0,0.4,2.0,0.3188217937204154,0.1405773736179807,1.5234386382822618
FDFL-0.5,0.0,44,linear,2.0,0.4,2.0,0.2232529734929963,0.6287925558556627,2.761667557955098
FDFL-0.5,1.0,44,linear,2.0,0.4,2.0,0.2214734709061659,0.6316384595464651,2.775953496005471
FDFL-0.5,0.0,55,linear,2.0,0.4,2.0,0.2689982912346934,0.3609485229038925,3.157493343359024
FDFL-0.5,1.0,55,linear,2.0,0.4,2.0,0.2644891544434544,0.3596309925102173,3.139667477347525
FDFL-Scal,0.0,11,linear,2.0,0.4,2.0,0.3493315089903575,0.2994141091447095,3.557089761231004
FDFL-Scal,1.0,11,linear,2.0,0.4,2.0,0.3494523057937695,0.2985116546013376,3.5475038274118016
FDFL-Scal,0.0,22,linear,2.0,0.4,2.0,0.2112133013884207,0.1638170905944614,0.6976977609472291
FDFL-Scal,1.0,22,linear,2.0,0.4,2.0,0.2112573350857584,0.1621754522200127,0.6939886034198108
FDFL-Scal,0.0,33,linear,2.0,0.4,2.0,0.3187882175178264,0.1395216384060519,1.5173996927587687
FDFL-Scal,1.0,33,linear,2.0,0.4,2.0,0.3179533094751725,0.1388991296480186,1.5141816549464095
FDFL-Scal,0.0,44,linear,2.0,0.4,2.0,0.2186920597916316,0.6141769745823704,2.7011153108758776
FDFL-Scal,1.0,44,linear,2.0,0.4,2.0,0.2157651084980775,0.6090507494576459,2.681809548810651
